Electric Vehicle Registrations by State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State, Registration Count ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"8,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,"1,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,"65,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"5,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,"903,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"59,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"22,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,"5,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,"5,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,"167,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"60,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,"19,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,"5,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,"66,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,"17,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,"6,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,"7,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"7,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,"5,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,"4,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,"46,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,"49,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,"33,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"24,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"2,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,"17,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,"3,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"4,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"32,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"6,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"87,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"7,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,"84,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"45,590",,Data Source: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,640,,Vehicle registration counts derived by the National Renewable Energy Laboratory with data from Experian Information Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,"34,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"16,290",,Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,"46,980",,Only all-electric vehicles are included in this chart; plug-in hybrid electric vehicles (PHEVs) are not included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"47,440",,Registration counts are approximate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,"4,340",,"California had approximately 903,620 light-duty electric vehicle registrations in 2022, but the chart is cut off at 200,000 to make it easier to see the other states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"13,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"1,170",,Worksheet available at afdc.energy.gov/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"22,040",,Last updated July 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,"149,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,"28,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,"5,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,"56,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"104,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"1,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"15,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"2,442,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,